Romanian,English
verificat,verifier
atins,reached
urmărit,followed
fotbal,football
walter,walter
descurci,deal
lovitură,coup
zonă,area
treacă,passing
liniştit,quiet
tren,train
totusi,however
vorbind,speech
pierdem,lose
lasat,dropped off
armată,army
r,R
condus,driving
porc,pig
pregătiţi,prepared
culcare,sleep
poată,can
păr,hair
permis,allowed
kate,kate
patul,the bed
venim,come
dave,give
intelegi,understand
by,by
milă,mercy
uimitor,amazing
gheaţă,ice
şef,head
şefu,governor
căutăm,we are looking for
adio,Farewell
dră,DRA
reusit,successful
fantastic,fantastic
întuneric,darkness
arătat,showed
kevin,kevin
foloseşti,use
dur,rough
plânge,cry
vai,Oh my
arate,plowing
realitate,reality
dificil,difficult
carl,carl
matt,Matta
oraşului,city
cumpăr,I buy
rugăm,Please
istoria,the history
anglia,England
ocazia,opportunity
arunca,THROW
motive,reason
întrebam,wondering
zeu,god
înaintea,prior to
aranjat,trim
acestor,these
sistem,system
treia,third
înnebunit,mad
miss,Miss
ridica,pick up
şansa,chance
oricând,whenever
durerea,pain
andy,andy
urgenţă,expedite
găsească,FIND
ridicat,picked up
ocupa,busy
necazuri,trouble
vizită,visit
corp,body
albă,white
costum,costume
foloseşte,uses
bărbatul,man
gunoi,trash
vroia,wanted
flori,FLORA
încolo,away
anii,years
verific,CHECK
visul,the dream
bord,board
ofer,I offer
astazi,today
bag,bag
dragut,cute
culcat,lying down
locuiesc,I live
astia,these
sansa,chance
poze,PICTURES
me,me
stiut,know
scenă,scene
înţelegere,understanding
bancă,the bank
ambele,both
parca,park
rock,rock
catre,by
linie,line
securitate,security
rezolva,solve
nopţii,night
tinere,young man
scăpa,get rid
deştept,smart
istorie,history
rele,bad
continui,continue
scrii,write
lapte,milk
aşadar,therefore
distracţie,fun
dovezi,evidence
zilei,day
roma,Rome
aflăm,are
privinţa,regard
înveţi,learn
pielea,skin
tie,to you
suport,support
oricare,either one
fred,cold
importante,important
întrebarea,the question
dan,yes
bază,the base
situaţie,situation
priviţi,look
u,u
vândut,sold
merci,thanks
scapi,Lose
poză,picture
vara,summer
restaurant,restaurant
interesat,interested
biserica,the church
acei,those
datorită,due to
costă,cost
proces,trial
luptat,FOUGHT
culoare,color
crima,crime
calul,the horse
chef,binge
făceam,doing
dumneavoastra,your
detectiv,detective
scumpule,deary
pariez,pariah
peşte,over
secrete,secret
creierul,brains
gresit,wrong
bănuiesc,I presume
langa,Besides
calm,calm
gust,taste
puştiule,kid
arthur,arthur
nebuni,crazy
iisus,Jesus
autobuz,bus
biserică,the church
rămână,stay
apreciez,I appreciate
nevasta,wife
nuntă,Wedding
cai,repent
făcută,made
programul,program
lucy,lucy
alţi,other
amin,Amen
cinste,honor
insula,the island
tânără,girl
cutia,box
aducă,bring
regret,regret
william,William
fericire,happiness
nervos,nervous
ucid,killing
gandit,thought
veniti,coming
liceu,high school
poza,picture
extraordinar,extraordinary
durează,takes
gratis,gratis
ordinele,the orders
uităm,look
cumperi,buy
scena,scene
primeşti,you get
annie,annie
sotul,husband
curtea,court
sticlă,glass
pâna,until
degrabă,rather
reuşi,SUCCEED
afle,learn
lasi,leave
lovitura,coup
bucătărie,kitchen
poliţiei,police
magazinul,shop
tăiat,cut
mâncăm,eat
geanta,bag
băutură,drink
omoară,killing
prânz,Lunch
cauză,Cause
taie,cut
rezolvat,solved
claire,CLAIR
misca,move
seamănă,resembles
scoatem,out
stati,stay
implicat,involved
post,post
sune,sound
pădure,forest
generalul,General
conform,conformable
nivelul,the
arunc,throw
mesajul,the message
termini,finish
lisa,Lisa
gasi,find
uiti,look
planeta,the planet
aiurea,elsewhere
sărut,kiss
devii,become
lipseşte,missing
conteaza,counts
aude,hears
ed,ed
cate,each
anumite,some
cântă,sing
opreşti,stop
bilet,ticket
ocupi,deal
bătrânul,the old man
baţi,Bati
california,California
aparţine,belongs
tii,know
întâlni,meet
teme,themes
ridică,pick up
viteza,speed
ultimii,recent
albastru,blue
acelea,those
astept,expect
tin,I hold
norocul,luck
arati,show
creadă,think
iubita,girlfriend
realizat,accomplished
extrem,extremely
revenit,return
arat,plowing
baiat,boy
purtat,worn
tineri,young people
ciudată,weird
discutat,discussed
bagi,put
înţelegeţi,understand
